step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,s2_medio,s2_max,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,207563,0.0,1.0717506513391823e-11,4.5155266103670296e-14,1.0717506513391823e-11,0.43214001311135947,10.785981483275078,9.522162189455058,-29.46851637101859,32.316898799787296,0.0004903065039481047,32.316898799787296,7.432171368947449e-06,12.566179721003962,6.446907846731802,-1.1159834046126322,1.017606027888999,-0.023172161017405192,1.1159834046126322,0.017045004924482805,2.398412699342566,1.1569359716927305,0.017045004924482805,2.3983922855454787,1.155865901827829,0.0,0.05755050749892715,0.0030962179717803208,1.0,1.0,1.0,0.007791639313596425,-0.12069237785413656,0,0,0,0.0,0.609380932133849,372,0.9989,-0.04378,0.44728238420512356,0,0,0,0.999,372,0.609380932133849,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917234,0.609170287691728,0.609170287691728,0.76146285961466,3.6984616954375124e-14,372,0.9987,0.9988,-0.05168,0.0,372,0.9988,0.9989,0.02626,0.0,3,0.9977,0.9999,0.0,0.0,0.9977,1.0,0.0,0.0,0.9975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,1.0,0.00179,1.0,1.2621,0.27209,0.9738,0.981,1.0074,0.5284,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
1,1196,207563,6.86790769362997e-35,1.6559919422522904e-11,6.014771363889699e-14,1.6559919422522904e-11,0.4386094951371111,10.779656004957834,9.522192020715016,-29.573768560343858,30.754790377088025,-0.14990217763442076,30.754790377088025,1.4784470982576181e-05,12.566131063874169,6.507610167914921,-1.115983406524069,1.0176060296326752,-0.023172161026852846,1.115983406524069,0.05,2.398412699342797,1.1569635260364415,0.05124388279243602,2.3983922849583856,1.1539118703559101,1.4142115624116159e-08,0.057550521641042775,0.0030962321138959456,0.0020061774731436888,1.4142091024004906,0.8912326333232374,0.00783163398820525,-0.12069240051160277,0,0,0,4.2284990354680377e-32,0.6093809365602332,372,0.9963,-0.04452,0.4472290778175231,0,0,0,0.9984,372,0.6093809365602332,-0.003591,-0.0035914309511648757,621.4857873344093,289.7828177215713,0.6091702876917209,0.609170287691728,0.609170287691728,0.76146285961466,5.71459672893166e-14,372,0.9983,0.9982,-0.05172,-1.048537,372,0.9929,0.9861,0.0268,1.04847,3,0.9946,0.9999,2.594768,0.0,0.9893,0.9999,-2.589313,0.0,0.9912,1.0,-1.579805,0.0,0.0,1.694,1.7185,1.7825,1.0,1.0,0.25077,0.0301,1.2621,0.27209,0.2095,1.0327,4.9282,0.9331,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
2,1196,207563,2.43492520054699e-20,3.8857042229694324e-11,2.2453412989524094e-13,3.8857042229694324e-11,0.4386093897955972,10.779656004220952,9.52219201944182,-29.41546927352976,30.32240756789672,-1.5700820701400102,30.32240756789672,0.000267916945894342,12.56230534164008,6.355369865576915,-1.1180396026386892,1.020763796401759,-0.023165722963339776,1.1180396026386892,0.050000237154942846,2.3984162399797455,1.156963531454456,0.05124387642141093,2.396148194930598,1.1497332539225915,2.0075916847061003e-05,0.07168971306330194,0.012008558447128321,0.0012154477681829423,1.3518335722038186,0.8800259706130149,0.007868858084689005,-0.1367136596558374,0,0,0,9.736341818212419e-13,0.6093809400849084,372,0.1106,-0.02451,0.4546617118983726,0,0,0,0.0182,372,0.6093809400849084,-0.006116,-0.006116401956540285,621.4857881875994,289.7828181193919,0.6091702876917112,0.609170287691728,0.609170287691728,0.76146285961466,1.3409022136600603e-13,372,0.0672,0.1624,-0.0557,0.003568,372,-0.0874,-0.102,0.02313,0.008385,3,0.0085,-0.6735,-0.37952,0.669,0.0148,0.9997,-0.088138,0.144,0.0079,-0.6562,0.436051,0.658,0.3165,2.113,0.4561,2.0802,1.0,1.0,0.25205,0.0319,1.26164,0.27208,0.923,1.0322,1.1183,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
3,1196,207563,3.182461407285435e-17,5.753811695074386e-11,3.114237456055023e-12,5.753811695074386e-11,0.4386092027555974,10.779656002979811,9.522192014915337,-29.305974115157728,31.225439791791224,-0.02030185570124099,31.225439791791224,0.00911224189192339,12.564404732208542,6.266121664375109,-1.1195860122579657,1.0231547009425164,-0.023182203446476285,1.1195860122579657,0.05000105201083563,2.3984180409706704,1.1569634527774644,0.052483588876237434,2.395644284169176,1.1412466049766121,0.00012403834245279134,0.08064750641551088,0.02080881815325847,0.0002167523588793019,1.4062863499443035,0.8885019166102434,0.007903510691902715,-0.1524169370124642,0,0,0,1.1109442121516137e-10,0.6093809428725151,372,0.0597,-0.03371,0.431111795961877,0,0,0,0.1702,372,0.6093809428725151,0.005374,0.0053739379624677674,621.485793007525,289.78282036679906,0.6091702876917032,0.6091702876917273,0.609170287691728,0.7614628596146591,1.9855599748085033e-13,372,0.0644,0.0644,-0.0451,-0.019661,372,0.1015,0.0916,0.03497,-0.017911,3,0.0074,-0.9073,0.307957,14.925,0.0118,0.6691,-0.040615,10.614,0.0067,-0.2945,-0.238426,13.249,7.5348,1.9808,1.4087,1.7584,0.9956,1.0,0.51275,0.52104,1.26167,0.26975,0.9259,1.0294,1.1119,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1575,0.9364,47,0.144,0.9904,-1.0
4,1196,207563,2.8805205958583446e-16,2.2253183697815646e-10,1.2574575913523833e-11,2.2253183697815646e-10,0.438608735078867,10.779655995475357,9.52219199891667,-29.804824029935553,32.01232950826359,-0.09392226329205172,32.01232950826359,0.002598531731493492,12.547471700461305,6.403027280578999,-1.1229156478583049,1.0245136227630174,-0.02330090078565627,1.1229156478583049,0.05000346861349836,2.3984398980012744,1.1569636206823937,0.05214311531094532,2.39566067146242,1.125197012600288,0.0026750032192049515,0.09404620854143855,0.029693837319360917,0.0007544092108585643,1.3789984552458705,0.8627411005956168,0.00793578052103701,-0.16776401406176517,0,0,0,4.287905815274459e-10,0.6405207560329736,372,0.09,-0.01163,0.44606509631290575,9,8,1,0.0776,363,0.6312282551515875,-0.749098,-0.7490978220927464,621.4857987610909,289.78282304953865,0.6091702876916323,0.6091702876917251,0.609170287691728,0.7614628596146563,7.679262512399309e-13,372,0.0722,0.0722,-0.05769,0.243956,372,-0.0046,0.0069,0.0043,1.341917,3,0.0066,-0.8981,0.090466,17.121,0.0012,-0.2979,0.083532,17.012,0.001,0.6873,-0.193424,16.886,9.8187,1.7437,1.7326,1.7198,0.6239,1.0,0.5461,0.49035,1.26184,0.26055,0.9482,1.0071,1.0622,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.151,-0.5666,20,0.0053,-0.9505,1.0
5,1196,207563,3.6440040309664704e-14,2.0532497841640553e-09,1.2039771101817096e-10,2.0532497841640553e-09,0.4386075401175467,10.779655923850418,9.522191961659138,-29.838275014310533,32.70474181202048,0.15029715772169644,32.70474181202048,0.018907606024821888,12.551061220719536,6.298406776613198,-1.1299512459813355,1.025661558669499,-0.02331426775393884,1.1299512459813355,0.05000496758600892,2.398481168156655,1.1569644874504628,0.05155074091727095,2.395682928989375,1.0919488815993617,0.015525370870142167,0.10435409550133401,0.038321248325317,0.005009995756642738,1.384561972255751,0.9008815888757655,0.00796585872772758,-0.18267390922078697,0,0,0,3.51382340456631e-09,0.6382528149018678,372,0.0974,-0.02733,0.4507774440591121,21,21,0,0.1002,371,0.6372466224941828,-0.022866,-0.02286631536761874,621.4858130194484,289.78282969784357,0.6091702876908441,0.609170287691713,0.609170287691728,0.7614628596146412,7.085477722420538e-12,372,0.0584,0.0584,-0.06382,-0.042734,372,0.1619,0.1619,-0.0055,-0.040142,3,0.0061,0.3313,0.008655,17.449,0.0169,0.8996,-0.004194,17.269,0.0096,0.71,0.005826,16.982,9.9502,1.7536,1.7356,1.7067,0.381,1.0,0.56159,0.51785,1.26191,0.24019,0.959,0.9962,1.0388,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1244,0.2556,18,0.0743,-0.4172,0.0
6,1196,207563,3.5403953419838994e-14,6.070736579958698e-09,4.4826061666249066e-10,6.070736579958698e-09,0.4386055999388934,10.779655477029669,9.52219187882368,-32.91778658388252,32.98056126850504,0.16577043062562474,32.98056126850504,0.002635554717482967,12.55662733667439,6.252343900457876,-1.1316057411906013,1.0264803716460582,-0.023434562488697058,1.1316057411906013,0.05000779853616981,2.3985877466465024,1.1569681467837625,0.05111206402869393,2.3957381251874836,1.0354581455598673,0.021961042976446046,0.11477643733797901,0.04733006421407499,0.00229259292994477,1.407567617887735,0.8839744837169841,0.007993983046222116,-0.19700874188571776,0,0,0,1.306725161925152e-08,0.6339900965535263,372,0.1241,-0.03761,0.45533804770239533,2,2,0,0.1241,372,0.6339900965535263,-0.580064,-0.5800639138757075,621.4858379551496,289.78284132471885,0.6091702876891145,0.6091702876916698,0.609170287691728,0.7614628596145873,2.0949261703028434e-11,372,0.0503,0.0503,-0.05069,-0.21301,372,0.208,0.208,-0.01127,-0.023112,3,0.0068,0.8509,-0.002172,17.46,0.0267,0.9982,0.002924,17.307,0.0113,0.8812,-0.001017,17.083,9.9789,1.7497,1.7343,1.7119,0.3902,1.0,0.57734,0.54103,1.26188,0.20384,0.9574,0.9979,1.0424,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.0956,0.9446,16,0.0374,-0.7378,-0.0
7,1196,207563,7.061421633669143e-14,8.723890989922666e-09,9.640525118860448e-10,8.723890989922666e-09,0.43860239900392206,10.779653507196059,9.522191658197348,-42.623435814266855,32.97503212990321,0.2906548549011556,42.623435814266855,0.010450867651929485,12.553852406267847,6.2666361307578216,-1.1316653860811228,1.0291972489158778,-0.023416412092905917,1.1316653860811228,0.05001724751726575,2.3988401833272075,1.1569778901167882,0.050933925394155186,2.3958673124436354,0.9854674153029137,0.030218800573894474,0.12773364250110716,0.05616980905124359,8.011132052299086e-05,1.4118626271455808,0.8634445775433379,0.008020432205745354,-0.21063843766169565,0,0,0,8.542461141649407e-08,0.6216163832624549,372,0.17,-0.02446,0.4562171327582254,0,0,0,0.17,372,0.6216163832624549,0.113598,0.11359771029087584,621.4858927043948,289.78286685288197,0.6091702876879724,0.6091702876914755,0.609170287691728,0.7614628596143443,3.010492333334408e-11,372,0.0538,0.0538,-0.03357,0.080104,372,0.2246,0.2246,-0.01233,-0.06468,3,0.0094,0.982,-0.002423,17.432,0.0386,0.9882,0.004625,17.274,0.0125,0.9413,0.001288,17.159,9.9815,1.7464,1.7306,1.7191,0.4441,1.0,0.58302,0.53352,1.26183,0.16247,0.9502,1.0051,1.0578,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.116,0.8684,17,0.104,-0.9945,-1.0
8,1196,207563,4.887545482223035e-15,1.4454013558851958e-08,1.99900315468296e-09,1.4454013558851958e-08,0.4385955215843071,10.77964779113645,9.52219117403516,-46.39763188794016,32.973136616631734,0.3231847313601465,46.39763188794016,0.0005910999067850753,12.55032142212447,6.278139445573985,-1.1317883368181105,1.0321311128911792,-0.02347011009249355,1.1317883368181105,0.050037627050246954,2.399350833257358,1.1570052294937594,0.050684903670821575,2.3960607203543085,0.9453727399213121,0.0340375965255256,0.14166500528164422,0.06480425482667572,0.0015922840616343636,1.4131714995602682,0.8705331838722892,0.008046111997925045,-0.22381357666198842,0,0,0,2.6091811465218474e-07,0.6154949919058732,372,0.1979,-0.01918,0.45608090999078743,0,0,0,0.1979,372,0.6154949919058732,0.502609,0.5026091069713146,621.4859629719627,289.78289961683936,0.6091702876855056,0.6091702876910263,0.609170287691728,0.7614628596137829,4.987876640741582e-11,372,0.0653,0.0653,-0.02321,0.064724,372,0.241,0.241,-0.00953,-0.037781,3,0.0137,0.997,-0.001858,17.406,0.0482,0.9522,0.002918,17.251,0.0167,0.973,0.000368,17.207,9.9813,1.7439,1.7283,1.7239,0.4509,1.0,0.59446,0.53615,1.26168,0.16869,0.9472,1.008,1.0642,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1106,0.6163,16,0.0582,-0.3591,0.0
9,1196,207563,1.5900617286000887e-13,2.7264597420666003e-08,3.713106384971329e-09,2.7264597420666003e-08,0.4385840961966261,10.779634331382752,9.52219022966338,-46.59483234994924,32.9752991144924,0.3433459198504545,46.59483234994924,0.018638590023780946,12.563397158930933,6.2748532242117285,-1.1340184509689641,1.0337218394178707,-0.023518367562899333,1.1340184509689641,0.0500610494482875,2.4001209824744825,1.1570486666945095,0.050303058733349115,2.396384063390869,0.9109761060481913,0.03598705102678883,0.1557459135443226,0.07350958666540044,0.00017771468016569703,1.413183113861214,0.8586135697576653,0.008071952064513395,-0.23666301782341168,0,0,0,5.067777597169651e-07,0.6125727126541506,372,0.2151,-0.00841,0.45628875656874507,0,0,0,0.2151,372,0.6125727126541506,0.095943,0.09594329095509435,621.4860255858869,289.78292881209967,0.6091702876799907,0.6091702876904368,0.609170287691728,0.7614628596130459,9.408627876193786e-11,372,0.0836,0.0836,-0.01703,0.032259,372,0.2554,0.2554,-0.00796,-0.003429,3,0.0185,0.9461,-0.000492,17.393,0.0551,0.9066,0.002767,17.231,0.0219,0.9944,0.001413,17.239,9.9811,1.7426,1.7264,1.7272,0.4263,1.0,0.60385,0.52333,1.26154,0.186,0.9455,1.0098,1.068,0.5,2.7211,0.9535,0.0,0.0,8.4656,3.1111,80,0.0962,-0.0152,16,0.0847,0.8351,-1.0
